Ingredient,Category,Used in # Recipes,Price ₹/kg (FILL IN),Recipes
Nori,Other,4,,Avocado Roll; Bombay Blues Roll; Corn Tempura Roll; Jalapeño Popper Roll
Chestnut,Bakery,2,,Cheese Chilli Dumplings; Chestnut Gyoza
Ramen noodles,Grains & Flour,2,,Peanut Butter Ramen; Spiced Miso Ramen
1 ladle water,Beverages,1,,Caramelised Onion Pasta
Bao,Other,1,,Tofu Bao
Bay leaf (remove before blending),Other,1,,Miso Tomato Soup
Black Vinegar,Sauces & Condiments,1,,Thai Spring Roll
Boiled linguini,Oils & Fats,1,,Lemon Linguini
Broad Beans,Other,1,,New Dimsum Platter
Celery (diced),Beverages,1,,Lasagna
Chilli Crisp (for chilli version),Spices,1,,Steamed Edamame (Chilli / Salted)
Cold water,Beverages,1,,Tokyo Style Pizza (Dough Base)
Conchiglioni,Grains & Flour,1,,Stuffed Conchiglioni
Cookies & cream ice cream,Dairy,1,,Brownie With Ice Cream
Cumin powder,Spices,1,,Cheese Chilli Dumplings
Flat noodles,Grains & Flour,1,,Drunken Noodles
Fried glass noodles,Grains & Flour,1,,Chilli Oil Dumplings
Granola (chopped),Bakery,1,,Summer Burrata Salad
Gunsberg Ginger Beer,Vegetables,1,,Moscow Mule
Hing,Other,1,,Cheese Chilli Dumplings
Julienne cut nori sheet,Grains & Flour,1,,Korean Mandu
Kinley Soda,Beverages,1,,Mint Mojito
Lasagna sheets (oven-ready),Grains & Flour,1,,Lasagna
Maida noodles,Grains & Flour,1,,Shoyu Ramen
Mixed mushroom,Vegetables,1,,Drunken Noodles
Nori half sheet,Grains & Flour,1,,Dragon Roll
Nori sheet,Grains & Flour,1,,Volcano 1
Nori sheets,Grains & Flour,1,,Gimbap 1
Nutmeg,Bakery,1,,Lasagna
Pasta sheet 22 g x 2,Grains & Flour,1,,Pasta Fritti 2.0
Peas,Other,1,,Risotto
Pickled radish,Other,1,,Gimbap 1
Pickled red Bhavnagri,Other,1,,Cheese Chilli Dumplings
Plain mayonnaise,Sauces & Condiments,1,,Saucy Brussels Sprouts
Salt & black pepper,Spices,1,,Saucy Brussels Sprouts
Sichuan powder,Spices,1,,Chilli Oil Dumplings
Sourdough,Grains & Flour,1,,Roasted Red Bell Pepper Soup
Soy chunks (textured),Sauces & Condiments,1,,Lasagna
Unagi,Other,1,,Gimbap 1
Water (Biga),Beverages,1,,Tokyo Style Pizza (Dough Base)
Water chestnut flour,Grains & Flour,1,,General Tso's Water Chestnuts
